Year;Month;Date;Zip Code;Active Energy (kWh)
2022;2;2022-02;3700;19299237.657
2022;2;2022-02;3730;8822278.748
2022;2;2022-02;3740;2719174.348
2022;2;2022-02;3840;8005841.778
2022;2;2022-02;3860;27733118.093
2022;2;2022-02;4000;13595904.774
2022;2;2022-02;4050;14581082.488
2022;2;2022-02;4099;9777.688
2022;2;2022-02;4300;8022632.641
2022;2;2022-02;4405;11104975.105
2022;2;2022-02;4410;13459081.928
2022;2;2022-02;4425;18123073.866
2022;2;2022-02;4430;19200204.226
2022;2;2022-02;4440;12054679.433
2022;2;2022-02;4445;11130595.98
2022;2;2022-02;4490;9049383.611
2022;2;2022-02;4505;9441925.333
2022;2;2022-02;4515;3075518.295
2022;2;2022-02;4535;19943554.092
2022;2;2022-02;4570;4965284.033
2022;2;2022-02;4575;7211754.37
2022;2;2022-02;4585;10663120.445
2022;2;2022-02;4620;10581596.94
2022;2;2022-02;4630;4728690.795
2022;2;2022-02;4660;1844442.987
2022;2;2022-02;4690;2746009.716
2022;2;2022-02;4720;3737487.205
2022;2;2022-02;4740;11563838.863
2022;2;2022-02;4750;20217155.423
2022;2;2022-02;4755;10819226.483
2022;2;2022-02;4760;44518428.136
2022;2;2022-02;4775;3895106.265
2022;2;2022-02;4785;11720120.399
2022;2;2022-02;4810;7467731.72
2022;2;2022-02;4820;12917021.906
2022;2;2022-02;4825;6265865.481
2022;2;2022-02;4835;16204682.34
2022;2;2022-02;4845;637613.51
2022;2;2022-02;4950;5597057.196
2022;2;2022-02;4970;9196009.953
2022;2;2022-02;4980;2133793.784
2022;2;2022-02;5000;13849495.19
2022;2;2022-02;5130;1504634.767
2022;2;2022-02;5140;1234580.781
2022;2;2022-02;5340;3453835.335
2022;2;2022-02;5350;1041891.826
2022;2;2022-02;5370;5570995.244
2022;2;2022-02;5385;503780.994
2022;2;2022-02;5445;764877.475
2022;2;2022-02;5450;4245662.359
2022;2;2022-02;5460;1530304.346
2022;2;2022-02;6040;835259.023
2022;2;2022-02;6050;1540715.097
2022;2;2022-02;6110;792809.293
2022;2;2022-02;6270;5548350.639
2022;2;2022-02;6285;100916.431
2022;2;2022-02;6300;14959493.204
2022;2;2022-02;6350;533338.639
2022;2;2022-02;6355;1044374.572
2022;2;2022-02;6440;1217022.197
2022;2;2022-02;7005;16690648.759
2022;2;2022-02;7040;2219301.169
2022;2;2022-02;7080;3755125.776
2022;2;2022-02;7160;3027182.177
2022;2;2022-02;7220;4798661.765
2022;2;2022-02;7230;347161.508
2022;2;2022-02;7250;1032402.642
2022;2;2022-02;7320;1287616.669
2022;2;2022-02;7490;1161754.945
2022;2;2022-02;7565;2521399.908
2022;2;2022-02;7580;5647917.129
2022;2;2022-02;7600;14790752.342
2022;2;2022-02;7630;5492181.473
2022;2;2022-02;7645;1323921.449
2022;2;2022-02;7750;1368591.913
2022;2;2022-02;7780;22708810.449
2022;2;2022-02;7800;10721973.14
2022;2;2022-02;8000;7151972.326
2022;2;2022-02;8100;13872626.949
2022;2;2022-02;8125;11844395.08
2022;2;2022-02;8400;10340093.889
2022;2;2022-02;8500;17876015.32
2022;2;2022-02;8650;2602005.374
2022;2;2022-02;8700;9550547.89
2022;3;2022-03;1100;9767728.873
2022;3;2022-03;1495;7542505.047
2022;3;2022-03;1600;26082897.7
2022;3;2022-03;1700;19839827.603
2022;3;2022-03;1750;8736260.989
2022;3;2022-03;1800;13003184.934
2022;3;2022-03;2065;1229594.164
2022;3;2022-03;2200;6366466.126
2022;3;2022-03;2240;3717675.493
2022;3;2022-03;2305;4589043.619
2022;3;2022-03;2395;835574.463
